,id,name,name_scientific,description,itis_id,wikipedia_id,wikipedia_id.1,picture_content_type,picture_file_size,picture_updated_at,legacy_id,food_group,food_subgroup,food_type,created_at,updated_at,creator_id,updater_id,export_to_afcdb,category,ncbi_taxonomy_id,export_to_foodb
0,1,Angelica,Angelica keiskei,"Angelica is a genus of about 60 species of tall biennial and perennial herbs in the family Apiaceae, native to temperate and subarctic regions of the Northern Hemisphere, reaching as far north as Iceland and Lapland. They grow to 1���3 m tall, with large bipinnate leaves and large compound umbels of white or greenish-white flowers. Some species can be found in purple moor and rush pastures.",,Angelica,1.jpg,image/jpeg,111325.0,2012-04-20 09:29:57 UTC,1.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:14 UTC,2017-06-27 17:13:48 UTC,,2.0,False,specific,357850.0,True
1,2,Savoy cabbage,Brassica oleracea var. sabauda,"Savoy cabbage (Brassica oleracea convar. capitata var. sabauda L. ) is a variety of the cabbage, a cultivar of the plant species Brassica oleracea. Savoy cabbage is a winter vegetable. A variety of the savoy cabbage is the January King Cabbage. Savoy cabbage can be used in a variety of recipes. It pairs well with red wine, apples, spices, horseradish and meat. It can be used for roulades, in stews and soups, as well as roasted plain and drizzled with olive oil. Cabbage that is heavy for its size with leaves that are unblemished and have a bright, fresh look are signs of desirable quality. Whole cabbages are preferred whenever possible as pre-cut or preshredded cabbage has a greatly diminished vitamin content. Peak season for most cabbages runs from November through April. Fresh whole cabbage will keep in the refrigerator for one to six weeks depending on type and variety. Hard green, white or red cabbages will keep the longest while the looser Savoy and Chinese varieties need to be consumed more quickly. It is necessary to keep the outer leaves intact without washing when storing since moisture hastens decay. Cabbage provides fiber, vitamins A, C, K and B6, folate, potassium, manganese, thiamin, calcium, iron and magnesium.",,Savoy cabbage,2.jpg,image/jpeg,155178.0,2012-04-20 09:39:54 UTC,2.0,Vegetables,Cabbages,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:22 UTC,,,False,specific,1216010.0,True
2,3,Silver linden,Tilia argentea,"Tilia tomentosa (Silver Lime in the UK and Silver Linden in the US) is a species of Tilia native to southeastern Europe and southwestern Asia, from Hungary and the Balkans east to western Turkey, occurring at moderate altitudes. It is a deciduous tree growing to 20���35 m tall, with a trunk up to 2 m diameter. The leaves are alternately arranged, rounded to triangular-ovate, 4���13��cm long and broad with a 2.5���4��cm petiole, green and mostly hairless above, densely white tomentose with white hairs below, and with a coarsely toothed margin. The flowers are pale yellow, hermaphrodite, produced in cymes of three to ten in mid to late summer with a pale green subtending leafy bract; they have a strong scent and are pollinated by honeybees. The nectar however contains sugars which cannot be digested by other bees, to whom the tree is somewhat toxic. The fruit is a dry nut-like drupe 8���10��mm long, downy, and slightly ribbed.",,Tilia tomentosa,3.jpg,image/jpeg,56367.0,2012-04-20 09:41:25 UTC,3.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:15 UTC,2015-10-02 21:24:39 UTC,,,False,specific,,True
3,4,Kiwi,Actinidia chinensis,"The kiwifruit, often shortened to kiwi in many parts of the world, is the edible berry of a woody vine in the genus Actinidia. The most common cultivar group of kiwifruit ('Hayward') is oval, about the size of a large hen's egg (5?8 centimetres in length and 4.5?5.5 centimetres in diameter). It has a fibrous, dull greenish-brown skin and bright green or golden flesh with rows of tiny, black, edible seeds. The fruit has a soft texture and a sweet but unique flavor, and today is a commercial crop in several countries, such as Italy, New Zealand, Chile, Greece and France.",506775.0,Kiwifruit,4.jpg,image/jpeg,110661.0,2012-04-20 09:32:21 UTC,4.0,Fruits,Tropical fruits,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:22 UTC,,,False,specific,3625.0,True
4,5,Allium (Onion),Allium,"Allium haematochiton is a species of wild onion known by the common name redskin onion. It is native to northern Baja California and southern California. It it grows on the slopes of the coastal hills and mountains, such as those of the Peninsular Ranges, Transverse Ranges, and southern California Coast Ranges.",42634.0,Allium haematochiton,5.jpg,image/jpeg,341911.0,2012-04-20 09:37:44 UTC,5.0,Vegetables,Onion-family vegetables,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:22 UTC,,,False,specific,4678.0,True
5,6,Garden onion,Allium cepa,"The onion (Allium cepa) (Latin 'cepa' = onion), also known as the bulb onion or common onion, is used as a vegetable and is the most widely cultivated species of the genus Allium. This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (A. fistulosum), the Egyptian onion (A. �proliferum), and the Canada onion (A. canadense). The name ""wild onion"" is applied to a number of Allium species but A. cepa is exclusively known from cultivation and its ancestral wild original form is not known, although escapes from cultivation have become established in some regions.The onion is most frequently a biennial or a perennial plant, but is usually treated as an annual and harvested in its first growing season.

Onions are cultivated and used around the world. As a foodstuff they are usually served cooked, as a vegetable or part of a prepared savoury dish, but can also be eaten raw or used to make pickles or chutneys. They are pungent when chopped and contain certain chemical substances which irritate the eyes. Onions contain phenolics and flavonoids that have potential anti-inflammatory, anti-cholesterol, anticancer and antioxidant properties.",42720.0,Onion,6.jpg,image/jpeg,138437.0,2012-04-20 09:41:21 UTC,6.0,Vegetables,Onion-family vegetables,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:22 UTC,,,True,specific,4679.0,True
6,7,Leek,Allium porrum,"The leek is a vegetable that belongs, along with onion and garlic, to the genus Allium, currently placed in family Amaryllidaceae, subfamily Allioideae. Historically many scientific names were used for leeks, which are now treated as cultivars of Allium ampeloprasum. Two related vegetables, elephant garlic and kurrat, are also cultivars of A. ��ampeloprasum, although different in their uses as food. The edible part of the leek plant is a bundle of leaf sheaths that is sometimes erroneously called a stem or stalk.",42659.0,Leek,7.jpg,image/jpeg,4857.0,2012-04-20 09:33:40 UTC,7.0,Vegetables,Onion-family vegetables,Type 1,2011-02-09 00:37:15 UTC,2015-10-02 21:24:39 UTC,,,False,specific,,True
7,8,Garlic,Allium sativum,"With a history of human use of over 7,000 years, garlic (Allium sativum) is native to central Asia, and has long been a staple in the Mediterranean region, as well as a frequent seasoning in Asia, Africa, and Europe. There are two sub-varieties of allium sativum: Allium sativum var. sativum (soft-necked garlic) and Allium sativum var. ophioscorodon (hard-necked garlic). Soft-necked garlic is the most commonly found. Bulb garlic is available in many forms, including fresh, frozen, dried, fermented (black garlic) and shelf stable products (in tubes or jars). [Wikipedia]",42652.0,Garlic,8.jpg,image/jpeg,545294.0,2012-04-20 09:42:05 UTC,8.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,2.0,True,specific,4682.0,True
8,9,Chives,Allium schoenoprasum,"Chives is the common name of Allium schoenoprasum, the smallest species of the edible onions. A perennial plant, it is native to Europe, Asia and North America. A. schoenoprasum is the only species of Allium native to both the New and the Old Worlds. The name of the species derives from the Greek skho�_nos and pr��son. Its English name, chives, derives from the French word cive, from cepa, the Latin word for onion. Chives are a commonly used herb and can be found in grocery stores or grown in home gardens. In culinary use, the scapes are diced and used as an ingredient for fish, potatoes, soups, and other dishes. Chives have insect-repelling properties that can be used in gardens to control pests.",42636.0,Chives,9.jpg,image/jpeg,1411537.0,2012-04-20 09:42:09 UTC,9.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,,False,specific,74900.0,True
9,10,Lemon verbena,Aloysia triphylla,"Aloysia citrodora is a species of flowering plant in the verbena family Verbenaceae, native to northwestern Argentina and southern Bolivia. Common names include lemon verbena and lemon beebrush. It was brought to Europe by the Spanish and the Portuguese in the 17th century.",32135.0,Aloysia citrodora,10.jpg,image/jpeg,142723.0,2012-04-20 09:32:16 UTC,10.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,,False,specific,542672.0,True
10,11,Cashew nut,Anacardium occidentale,"The cashew, or caju, is a small tree native to Brazil. Cashew nuts are the seeds of the cashew apple, and are found in the grey bump at the end of the fruit. The cashew apple itself is sweet, soft and juicy.Cashews are usually sold roasted and salted and eaten as a snack.",28793.0,Cashew_nut,11.jpg,image/jpeg,670639.0,2012-04-20 09:29:53 UTC,11.0,Nuts,Nuts,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,,False,specific,171929.0,True
11,12,Pineapple,Ananas comosus,"The Pineapple (Ananas comosus), named for its resemblance to the pine cone, is a tropical plant with edible multiple fruit consisting of coalesced berries, and the most economically significant plant in the Bromeliaceae family. Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20���24 months and fruiting in the following six months. Pineapple does not ripen significantly post-harvest. Pineapples are consumed fresh, cooked, juiced, and preserved, and are found in a wide array of cuisines. In addition to consumption, in the Philippines the pineapple's leaves are used to produce the textile fiber pi��a- employed as a component of wall paper and furnishings, amongst other uses.",42335.0,Pineapple,12.jpg,image/jpeg,46902.0,2012-04-20 09:38:46 UTC,12.0,Fruits,Tropical fruits,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,,False,specific,4615.0,True
12,13,Dill,Anethum graveolens,"Dill (Anethum graveolens), also known as Lao coriander, depending on where it is grown, is either a perennial or annual herb. It is the sole species of the genus Anethum.  Dill is widely grown in Eurasia where its leaves and seeds are used as a herb or spice for flavouring food. Like caraway, the fern-like leaves of dill are aromatic and are used to flavor many foods such as gravlax (cured salmon) and other fish dishes, borscht and other soups, as well as pickles (where the dill flower is sometimes used). Dill is best when used fresh as it loses its flavor rapidly if dried; however, freeze-dried dill leaves retain their flavor relatively well for a few months [Wikipedia].",29584.0,Dill,13.jpg,image/jpeg,121803.0,2012-04-20 09:32:14 UTC,13.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:15 UTC,2017-06-22 22:39:02 UTC,,,True,specific,40922.0,True
13,14,Custard apple,Annona reticulata,"Custard apple, is a common name for a fruit, and the tree which bears it, Annona reticulata Custard apple may also refer to similar fruits produced by related trees: Annonaceae, the custard apple or soursop family. Annona cherimola, a tree and fruit also called cherimoya. Annona squamosa, a tree and fruit also called sugar apple or sweetsop Annona senegalensis, a tree and fruit called wild custard-apple Casimiroa edulis, also called white sapote, a fruit related to the citrus.",18099.0,Custard apple,14.jpg,image/jpeg,29242.0,2012-04-20 09:30:49 UTC,14.0,Fruits,Tropical fruits,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,,False,specific,301862.0,True
14,15,Wild celery,Apium graveolens,"Wild celery is a common name for several plants Wild celery may refer to Wild growing forms of celery, Apium graveolens Angelica archangelica, cultivated as a vegetable and medicinal plant Lovage, Levisticum officinale, sometimes known as wild celery Vallisneria americana, an aquatic plant in the Hydrocharitaceae family",182184.0,Wild celery,15.jpg,image/jpeg,42828.0,2012-04-23 10:40:23 UTC,15.0,Herbs and Spices,Spices,Type 1,2011-02-09 00:37:15 UTC,2017-03-20 21:26:23 UTC,,2.0,False,specific,4045.0,True
